geneID	logFC	logCPM	LR	PValue	FDR
g21	-7.33163764782363	5.07913004240803	691.360603107176	2.26159253544575e-152	4.27327909572474e-150
g10480	3.48392999436037	8.42826978782975	691.131251550238	2.53681771128524e-152	4.71473809718701e-150
g7499	-7.56557466003275	5.23556136665175	680.69842207713	4.7102366651618e-150	8.6128956569257e-148
g931	3.06730368256837	5.2052907499692	674.528415860997	1.03469895104508e-148	1.86196539809494e-146
g2735	-6.60636132532729	4.68728382876302	671.449041630274	4.8359554523056e-148	8.56644171293572e-146
g10026	8.73612959076732	3.07830361066439	671.163162698425	5.58023273701649e-148	9.73278439070092e-146
g7336	-2.90183343588965	4.63095395997657	665.484056689097	9.58725460067279e-147	1.64682886981557e-144
g3788	-12.6591176131038	3.74951234208095	656.938915637261	6.91904207349571e-145	1.17076388040628e-142
g6834	-7.01534876032313	5.01538772392938	654.631776929364	2.19682983106496e-144	3.66256761687992e-142
g13950	-2.27773205602913	5.72410847493377	634.262009264261	5.91395906145343e-140	9.71689186662282e-138
g13663	2.33474927540446	5.29225822846132	632.837209175269	1.20713693602881e-139	1.95504449196551e-137
g9092	-6.41889022180002	4.16569450034644	631.764955118963	2.06519293477883e-139	3.29761863402642e-137
g12037	-6.93900301917063	4.22172873255384	627.206908860374	2.02439470260606e-138	3.18757815881179e-136
g3857	-6.90756024678711	5.77873716753859	624.404701117557	8.23675453844396e-138	1.27917926304574e-135
g1573	5.06129362291556	4.52125322058669	616.581234873559	4.14313809441447e-136	6.34739953734822e-134
g8000	3.15329200896075	4.78069099756172	615.28657325398	7.92349101890427e-136	1.19771490241757e-133
g7386	-8.49052962498886	3.45972530255756	614.396929742241	1.23712445171168e-135	1.84543156698097e-133
g9031	9.73926968030664	4.7650273754367	613.686032973306	1.76617303264785e-135	2.60040307417255e-133
g3362	3.1525788365386	6.57901949730959	610.323345819296	9.51526192654028e-135	1.38300672386137e-132
g6903	-2.93822269391602	5.30356087407595	604.922046499574	1.42305594983074e-133	2.04217535483938e-131
g5595	9.78950216534697	4.15263660342107	603.672549687543	2.66069001173778e-133	3.7705303328839e-131
g2106	12.1965501012554	3.58713395480878	600.87049382364	1.08257981833366e-132	1.51521079017885e-130
g5903	-11.0426429374092	7.35978574508708	600.501288563051	1.30246138657645e-132	1.80073228531918e-130
g1852	6.00491647056735	5.74877256274246	597.733816688238	5.20850969054381e-132	7.11432221225243e-130
g12432	-9.2993627710129	3.5797323397932	597.00347539351	7.50878511217918e-132	1.01341781924733e-129
g11898	-6.80907888608354	5.11072602132759	596.626310043621	9.0699911648087e-132	1.20972340982866e-129
g2366	3.46470274014052	4.2693003390522	595.850046691684	1.33798757455965e-131	1.76380989916078e-129
g1273	2.55301785135374	5.29610668564062	593.066492014074	5.39394732861199e-131	7.02887136373266e-129
g7003	5.09696394076871	5.2021411981087	590.356134326481	2.09625791168085e-130	2.70059953917339e-128
g13979	-2.83558207401859	6.73041064115324	586.159711659388	1.71486585861063e-129	2.18443081337851e-127
g86	3.32476946566314	6.38527406759434	584.835401953829	3.32881641695233e-129	4.19319907988762e-127
