AVf1	AVf2	AVf3	AVm1	AVm2	AVm3	HtVf1	HtVf2	HtVf3	HtVm1	HtVm2	HtVm3
g29	1.75401007425907	1.81859129865789	2.37207037440757	1.56464213185254	2.03272263603085	1.79881462880627	3.38367214611812	3.28724352872058	4.49092383695305	4.73107695184187	5.02269025003388	6.954964207896
g30	18.0972317033346	22.5263485574478	17.579922469121	72.0346138836053	79.746713021913	74.8874591362477	51.8323579673689	48.9316127166755	51.267936591312	56.7821844787755	61.9467057084971	67.3522765755958
g31	4.2664165342999	6.4322166404012	4.20243241055008	13.0415036071169	15.0983845282536	11.8624402330527	20.8627628480536	20.7733527185169	17.9294473761704	21.3751784931504	24.6546270214579	22.6400170996997
g32	7.74832945332551	7.26139302687682	8.01482005470403	10.9135832006335	11.190190026329	11.1333684675912	5.77694967985611	6.0344399062942	6.2492821737034	5.42806596706857	5.88854657645028	6.25849370248345
g33	0	0	0	0	0	0	0	0	0	0	0	0
g34	0.222717682354042	0.708864454633586	1.49626739255232	0	0.222681038985477	0	1.53279155385257	1.60699758374139	0	0.550673358977971	0.801758629974352	0.844719187821017
g35	15.882221711984	17.0282518070012	18.1463148281416	5.8536710198269	6.23141608753617	5.96530030730182	8.06453008921475	7.7379420807983	8.11677101313316	5.80032567453899	6.48713886253114	4.76306914107873
g36	32.701847892695	32.7634848984036	23.0460701788615	47.8935829697845	66.1560482698286	50.917428662706	119.197601064638	135.921868491056	111.3493874585	115.47730788012	109.832508863382	113.490887022356
g37	3.26652600785929	0	0	0.315012164423113	1.18763220792254	0.326825987701103	14.4763646752743	21.1205396720297	14.8301805833462	47.1743510857795	79.2850200752415	119.199263170299
g38	2.03746982956531	1.38669669424256	0.405848995246033	3.18085453832119	7.45668139552118	3.51169311738127	8.4222054985295	13.8293965207099	5.80421134572258	9.0773285778245	5.67398415058772	7.24165767770513
g39	0	0	0	0	0	0	0	0	0	0	0	0
g40	0	0	0	0	0	0	0	0	0	0	0	0
g41	0	0	0	0.633082699374606	0.397799137605123	0.218941681081322	0	0	0	0	0	0
g42	0	0	0	0.395197079003542	0	0	0	0.192004906109361	0	0	0	0
g43	0	0.294759456841989	0.199985375469463	0	0.138892580248569	0.305776178323744	0.159341042886369	0	0.322674800236781	0	0.333386639356567	0.351250464540265
g44	0	0.118789671814736	0	16.2721857392988	25.5243577801058	19.593485852835	0	0	0	2.42236095069545	0	0.141555856611172
g45	0.124433360991327	0.0440050808544467	0	0	0	0	0	0	0	0	0	0
g46	0.0642320588607269	0.136291598383051	0	0.817649128972845	1.34865130821298	1.13108429599379	0	0	0.0745995815594438	0	0	0
g47	0.108989504130702	0.0578151860162145	0.104602279722503	26.1292536809257	23.3744022518053	35.6257710955251	0	0.112343296127818	0.06329060244006	2.96426297492397	0	0.137791073190662
g48	0	0	0	0	0	0	0	0	0.130039707745697	0	0	0
g49	0	0.374801895553391	0	53.5900866614286	69.5839853547031	50.5453294772224	0	0.182073617862325	0	0.873481879758161	0	0.223316566895211
g50	0.138915435773369	0	0	143.824943734984	217.714119539631	120.781590437879	0	0	0.16133740011839	3.43470840854057	0.166693319678283	0.878126161350662
g51	0	0	0	0.673109863593129	0.951638194993418	1.30941250556378	0	0	0	0	0	0
g52	0.119475374790507	0.126755160012225	0	73.7307553298372	88.0687278791133	79.257207708408	0.137042587905186	0	0	4.65262797177306	0	0.302095880581277
g53	4.60838649673811	4.36356951392451	5.05984896146734	4.22420965376505	4.91604965263923	5.19537022876138	0.900654891132349	1.2525867506222	1.56332407778951	0.878263714866327	0.717876340220344	0.567256680872508
g54	0	0	0	0.342296682601493	0	0	0	0	0	0	0	0
g55	13.8714447760641	13.6048548089838	9.44883796212044	15.9727702321351	18.3083974556458	15.0542296138393	18.1253116987196	16.941913384293	17.2634275274728	15.3076817716434	17.4394192084686	18.7225243405606
g56	66.9646126496903	69.3446322733921	75.5847892090915	30.8430346015613	27.9259439281898	34.1414477319717	48.7125151918956	57.3440350871868	46.3980224279019	41.8880919320897	52.7458638356311	40.9555098214302
g57	40.8515894354223	44.9080816672153	37.9742345144313	24.4613364417709	24.7894954747719	23.2579208363723	18.7875077603873	19.531533552504	18.5752958083015	12.4669686474574	11.4843336464874	16.809647035385
g58	0.31583856303001	0.376968380498786	0.682031049288919	3.72734046574631	4.57890568025628	5.77896356287674	0.0452847857914054	0.16277872579599	0.18340860514422	1.17137454395314	0	0
g59	0	0	0	10.314563273789	14.9790414574589	15.1105432725107	0	0	0	1.44453622477317	0	0
g60	0	0.139947488897618	0.126600184041827	1.1194423697096	1.58266008824013	1.08883550623597	0.226958406042548	0	0.22980192988966	0.65229977286661	0.0791435557485412	0.166768595020458
g61	0.920900079845928	0.781609346232689	0.88383049832946	10.1108286392254	8.24069966295018	11.9089514394908	2.00698100084966	0.759390190455	1.12301707161059	19.297079460455	33.3723771913219	21.8880345656214
g62	62.0175237932119	58.4948454548784	53.8917333055813	58.9854266199752	76.9422484628902	64.640442201082	43.865920117506	42.7247558250982	45.4146307585163	48.8249699582377	45.5145929636839	51.0184596491595
