geneID	logFC	logCPM	LR	PValue	FDR
g7721	4.67173698972065	5.94921551596344	235.389513045572	3.98141448807382e-53	1.12843240128232e-50
g675	5.09363316110398	6.1947186013651	233.25669054463	1.16180674478914e-52	3.21253733309134e-50
g6240	5.17355176051771	3.83412371695628	232.832812922704	1.43737270213543e-52	3.86066740054135e-50
g119	7.26333141961426	5.14650525783997	232.795837515747	1.46430888438986e-52	3.86066740054135e-50
g1388	-3.56827822894671	6.0142386486256	229.533934447669	7.53328066476814e-52	1.94101824764719e-49
g10822	-4.99202886194015	6.03467406688441	229.329111994343	8.34935602740721e-52	2.10348109517146e-49
g9468	6.85780841792744	7.02980314029411	227.380149039809	2.22178659481193e-51	5.47573796203974e-49
g2106	9.77823578816733	3.58713395480878	226.092782352033	4.2410437003837e-51	1.02299388151596e-48
g6933	9.69313730454351	2.7561064803395	225.620425216669	5.37643009514953e-51	1.26984558309813e-48
g4355	2.91772312684115	5.00968117587013	224.340813395111	1.02230974007566e-50	2.36529092310974e-48
g6001	3.39166009781589	4.48131355231023	221.297501652555	4.71377764547859e-50	1.06880194333582e-47
g10856	4.35375814033967	5.27835079396277	220.692238308498	6.38836643321343e-50	1.42009627947727e-47
g14731	3.43131172448432	4.95630250983266	220.126820701975	8.48634723467471e-50	1.85018689614437e-47
g11729	4.11753992352713	4.14071356010787	220.036241835618	8.88133650938878e-50	1.89976815107435e-47
g347	7.49386532302612	4.92255370689005	219.502371359218	1.1612604438547e-49	2.43800178740385e-47
g2362	3.44642552825081	4.17079006996204	219.426483891725	1.20637632074094e-49	2.48667060877091e-47
g6259	-1.28364694878306	6.36568185303675	219.288597425889	1.29288456216351e-49	2.61739862165138e-47
g11174	2.87108427257418	8.70325095047831	217.728325471515	2.83077388444059e-49	5.63026026805316e-47
g5886	4.39142006422664	4.67633912988842	216.833931783009	4.43614876369431e-49	8.67114112655214e-47
g5147	5.34094549783971	5.76614832050002	215.125189514786	1.04654331343238e-48	2.01095958379372e-46
g12162	3.71633510756767	4.93012558798029	214.490857779146	1.43924920245163e-48	2.68706273106512e-46
g6156	-3.1143117682673	4.07724989438346	214.481811285788	1.44580423917238e-48	2.68706273106512e-46
g4919	4.11027962898599	5.56950082928438	209.691181502477	1.60413708387787e-47	2.93324227740701e-45
g11013	5.66074903668143	4.24753858103531	209.521545037708	1.74683413645013e-47	3.14346961983097e-45
g12798	10.3030667521803	3.64469418209924	209.053134460908	2.21027952038604e-47	3.91530295665883e-45
