AVf1	AVf2	AVf3	AVm1	AVm2	AVm3	HtVf1	HtVf2	HtVf3	HtVm1	HtVm2	HtVm3
g27	2.81129809076053	2.21204256600399	2.86415265611464	2.83462882873387	2.72482348972966	2.57009925755067	-2.20644436503409	-2.36794924316919	-1.10034195523504	-0.346485133922974	-3.91862592082782	-3.91862592082782
g28	-1.10953714651467	-1.04068304035645	-0.627723770449085	4.85393950064111	5.3025026678285	5.26097860306217	-2.20644436503409	-3.91862592082782	-3.91862592082782	1.64510435546949	-3.91862592082782	-2.03721922072951
g29	1.17080009705522	1.21628044852241	1.61745006722821	1.46569458800188	1.76719153659646	1.60338965283331	2.49470898589717	2.37013507453957	2.70869699277409	3.12276923870571	3.08004820736521	3.62223479043742
g30	5.03321932769934	5.34316968663565	5.01415530617389	7.49152154578565	7.56880336739929	7.48725598282206	6.95111696777557	6.78371774046717	6.74336488583851	7.23307935784708	7.22932578640248	7.42610523767818
g31	1.94134285061642	2.51997736720206	1.94226397631455	4.00203371406724	4.14333472705571	3.80589430609687	4.61198553868161	4.52163428768989	4.20259509848862	4.79703495173479	4.87343506787979	4.82672044465568
g32	3.17084468367356	3.07262792616888	3.2418545283911	4.12761512272713	4.09442704064741	4.09620007304054	3.14938602151956	3.1280514143956	3.0712958418458	3.20958768601161	3.19780179056146	3.36074900920914
g35	5.81725705029686	5.91233679560393	6.03202409558799	4.84665144560817	4.86739712520009	4.81368041046781	5.2422951117487	5.09851124234269	5.05987551933155	4.91798909154576	4.95002362378134	4.58139491523344
g36	4.79333725778223	4.79073034145306	4.31258780330369	5.80982166365273	6.20602826016617	5.83781517878363	7.05847852620434	7.16344272332597	6.76830111183047	7.16319657764529	6.9616477428269	7.0850177036762
g37	0.212564219046004	-3.91862592082782	-3.91862592082782	-2.23890179864602	-0.761947029787229	-2.24384075961798	2.69245439751002	3.14895487307389	2.53691427529169	4.53655378251282	5.15481885302294	5.81824671744378
g38	1.43207525750581	0.8883064915133	-0.739915987155334	2.52337215955215	3.67387079288243	2.60490153196799	3.85227839178395	4.48099648356868	3.12744276311869	4.10977780092905	3.30666531045571	3.73230679384806
g44	-3.91862592082782	-2.54692599894341	-3.91862592082782	4.32408306976437	4.90254677148633	4.53110947708466	-3.91862592082782	-3.91862592082782	-3.91862592082782	1.68605278911038	-3.91862592082782	-2.03721922072951
g46	-3.1104038121713	-2.54692599894341	-3.91862592082782	-0.0885733627016375	0.52657634114684	0.294079163000737	-3.91862592082782	-3.91862592082782	-2.91224058812863	-3.91862592082782	-3.91862592082782	-3.91862592082782
g47	-1.91710868618232	-2.54692599894341	-1.9444343174454	6.04290684403908	5.81299538976069	6.4295207584138	-3.91862592082782	-1.63793968615762	-2.32515590806392	2.99823367238202	-3.91862592082782	-1.24763096142986
g49	-3.91862592082782	-1.85667487936387	-3.91862592082782	5.38343881380331	5.69036410659507	5.23899057207693	-3.91862592082782	-2.36794924316919	-3.91862592082782	-0.346485133922974	-3.91862592082782	-2.03721922072951
g50	-2.59548391060087	-3.91862592082782	-3.91862592082782	7.15268816233056	7.68117824416606	6.84063585426493	-3.91862592082782	-3.91862592082782	-2.32515590806392	1.87498707554298	-2.14597674848135	-0.0684559545198558
g52	-1.91710868618232	-1.85667487936387	-3.91862592082782	7.40609826935575	7.5929679405231	7.45005602667762	-1.44532781439477	-3.91862592082782	-3.91862592082782	3.51247662315666	-3.91862592082782	-0.365589251920032
g53	4.61769413509388	4.53384457167008	4.77486209346258	4.95906016514832	5.10815121195201	5.19683736857541	2.67555656941273	3.0634599394139	3.27393820254262	2.78861354759226	2.37301180625555	2.11312634207177
